date,gender,age,대출총괄_mo,대출총괄_pc,주택관련대출_mo,주택관련대출_pc,자동차대출_mo,자동차대출_pc,대환대출_mo,대환대출_pc,핀다대출외서비스_mo,핀다대출외서비스_pc
2022-02-04,m,11,18.30508,16.9014,39.32203,52.11267,7.11864,7.04225,1.69491,2.8169,28.47457,43.66197
2022-02-05,f,2,3.07017,0.0,1.60818,0.0,16.81286,5.68181,0.14619,0.0,1.31578,2.27272
2022-02-05,m,2,8.24742,0.0,6.70103,10.0,9.27835,20.0,0.0,0.0,4.12371,10.0
2022-02-05,f,3,12.3652,7.48898,8.12365,3.96475,21.49532,8.37004,0.7189,0.0,3.45075,3.0837
2022-02-05,m,3,22.16117,21.78217,9.34065,25.74257,8.7912,11.88118,1.4652,0.99009,9.79853,16.83168
2022-02-05,f,4,28.84777,5.80912,51.1354,19.08713,16.14802,5.39419,3.61648,0.82987,11.01766,7.05394
2022-02-05,m,4,27.36389,22.76657,40.68767,33.42939,10.74498,4.89913,2.36389,3.17002,13.39541,13.54466
2022-02-05,f,5,20.02237,6.61764,62.97539,18.62745,7.38255,1.71568,2.12527,0.98039,8.83668,5.39215
2022-02-05,m,5,15.87643,6.31578,45.15086,19.57894,5.42385,2.0,2.4066,0.21052,10.73994,7.68421
2022-02-05,f,6,14.93506,3.53356,55.08658,21.55477,5.1948,1.41342,1.62337,1.06007,7.46753,4.59363
2022-02-05,m,6,12.0319,3.84615,38.31484,19.58041,4.02219,1.8648,1.56033,0.34965,8.35644,5.3613
2022-02-05,f,7,12.11453,3.94736,48.95374,18.85964,4.84581,2.63157,1.87224,0.43859,4.51541,4.38596
2022-02-05,m,7,12.03776,4.23728,34.61841,14.91525,4.60267,1.8644,1.84893,1.18644,5.78284,3.22033
2022-02-05,f,8,13.90134,5.64516,47.89237,16.93548,7.53363,4.8387,1.97309,0.80645,4.66367,3.2258
2022-02-05,m,8,12.67828,4.63576,39.30269,21.19205,7.60697,1.3245,1.66402,0.99337,7.84469,4.63576
2022-02-05,f,9,12.86472,5.0,44.82758,16.25,8.09018,3.75,1.32625,0.0,4.90716,8.75
2022-02-05,m,9,13.54642,3.44827,37.74733,19.54022,6.08828,4.02298,2.73972,0.57471,8.52359,12.06896
2022-02-05,f,10,20.68965,13.51351,52.75862,27.02702,8.62068,5.4054,1.03448,2.7027,7.24137,10.81081
2022-02-05,m,10,18.08873,14.28571,39.24914,27.27272,6.48464,3.8961,0.68259,0.0,18.77133,14.28571
2022-02-05,f,11,9.76331,7.6923,33.72781,20.51282,10.05917,10.25641,0.29585,0.0,8.28402,17.94871
2022-02-05,m,11,8.81355,11.2676,32.20338,43.66197,13.8983,5.6338,1.01694,0.0,12.20338,12.67605
2022-02-06,f,2,2.48538,1.13636,1.31578,1.13636,9.79532,3.40909,0.0,0.0,0.87719,0.0
2022-02-06,m,2,6.18556,0.0,6.70103,0.0,9.79381,10.0,0.51546,0.0,2.06185,0.0
2022-02-06,f,3,13.156,4.84581,9.48957,7.04845,14.45003,4.40528,0.50323,0.0,3.45075,5.28634
2022-02-06,m,3,26.0989,16.83168,11.53846,18.81188,10.07326,6.93069,1.55677,0.0,6.77655,10.89108
2022-02-06,f,4,32.88477,13.69294,66.02186,23.23651,12.11101,5.80912,2.35492,0.41493,10.26072,11.20331
2022-02-06,m,4,31.59025,21.90201,51.86246,45.24495,10.02865,6.34005,3.00859,1.15273,11.53295,18.15561
2022-02-06,f,5,23.8255,5.88235,71.868,21.56862,5.64876,2.45098,2.79642,0.73529,8.2774,5.63725
2022-02-06,m,5,15.94827,7.68421,49.03017,31.05263,5.38793,1.89473,1.83189,1.05263,9.59051,7.68421
2022-02-06,f,6,13.90692,3.88692,55.46536,20.49469,3.8961,1.76678,2.05627,0.35335,6.60173,3.88692
2022-02-06,m,6,11.61581,4.8951,41.5742,23.89277,3.71012,1.98135,1.21359,1.6317,7.66296,4.54545
2022-02-06,f,7,13.16079,0.87719,49.00881,13.15789,4.57048,1.75438,1.87224,0.87719,5.39647,6.57894
2022-02-06,m,7,11.25098,3.72881,36.58536,13.22033,4.52399,3.05084,2.08497,0.84745,6.60896,4.23728
2022-02-06,f,8,13.99103,8.06451,42.69058,12.09677,6.90582,4.8387,1.07623,2.41935,6.81614,4.03225
2022-02-06,m,8,14.58003,7.28476,36.92551,16.88741,7.60697,1.3245,1.18858,1.3245,9.03328,3.9735
2022-02-06,f,9,14.72148,6.25,53.71352,6.25,6.49867,3.75,1.061,3.75,4.37665,3.75
2022-02-06,m,9,14.45966,5.74712,40.94368,20.68965,10.04566,1.72413,1.97869,0.0,11.56773,5.17241
2022-02-06,f,10,16.89655,10.81081,60.0,10.81081,9.65517,5.4054,2.41379,0.0,6.89655,8.1081
2022-02-06,m,10,16.38225,3.8961,31.39931,11.68831,7.50853,1.2987,1.36518,0.0,14.67576,9.0909
2022-02-06,f,11,11.53846,12.82051,31.36094,17.94871,3.25443,2.5641,0.29585,2.5641,5.6213,12.82051
2022-02-06,m,11,13.55932,15.49295,37.62711,15.49295,7.11864,1.40845,1.35593,1.40845,11.8644,14.0845
2022-02-07,f,2,3.80116,0.0,1.31578,0.0,8.33333,4.54545,0.0,0.0,1.16959,1.13636
2022-02-07,m,2,12.37113,10.0,2.57731,10.0,6.70103,10.0,0.0,0.0,2.57731,0.0
2022-02-07,f,3,20.9202,12.3348,10.0647,18.94273,13.44356,9.69162,1.58159,1.76211,3.23508,6.60792
2022-02-07,m,3,30.8608,47.52475,12.91208,29.70297,10.07326,12.87128,3.11355,4.95049,7.326,19.80198
2022-02-07,f,4,48.94869,42.32365,72.49789,73.85892,10.84945,15.35269,7.14886,5.39419,12.78385,23.65145
2022-02-07,m,4,50.57306,49.27953,57.80802,69.16426,12.46418,12.39193,9.16905,9.79827,14.11174,32.85302
2022-02-07,f,5,34.11633,20.83333,77.1812,76.71568,5.81655,3.67647,5.92841,3.18627,11.46532,18.62745
2022-02-07,m,5,27.08333,23.47368,60.59626,67.26315,6.57327,4.42105,4.77729,3.78947,12.75143,18.42105
